1,23
2,16
2,18
2,56
2,66
2,74
2,90
3,17
3,38
3,75
4,19
4,22
4,42
4,17
5,20
6,2
6,26
7,6
7,9
7,23
7,26
8,2
8,20
8,61
8,34
8,30
9,23
9,26
10,78
10,47
10,35
10,29
11,29
11,38
11,75
11,28
11,27
11,49
11,87
12,52
12,21
12,16
12,43
13,62
13,58
13,73
13,21
13,52
14,24
14,38
14,75
14,28
14,27
14,49
14,87
15,2
15,6
16,12
16,43
16,18
16,2
16,56
16,63
16,73
16,21
17,4
17,19
17,24
17,38
17,3
18,2
18,16
18,43
18,90
19,4
19,42
19,24
19,17
20,5
20,8
20,26
21,16
21,73
21,13
21,52
21,12
22,54
22,42
22,4
75,3
75,38
75,14
75,28
41,49
41,87
23,1
23,9
23,26
23,61
24,89
24,86
24,70
24,42
24,19
24,17
24,38
24,14
90,43
90,11
90,66
90,2
90,18
25,27
26,6
26,20
26,8
26,61
26,23
26,9
26,7
27,25
27,79
27,28
27,14
27,49
28,79
28,27
28,14
28,75
29,10
29,35
29,43
29,11
29,83
30,8
30,34
31,36
31,46
32,67
32,40
32,57
32,46
33,62
33,52
33,44
33,76
33,50
34,8
34,30
34,61
34,36
34,64
35,10
35,29
35,43
35,47
35,76
35,69
35,64
35,34
35,61
37,35
37,43
37,52
37,44
37,76
38,3
38,17
38,24
38,14
38,75
40,71
40,57
40,32
40,67
40,50
42,22
42,4
42,19
42,24
42,70
42,54
43,16
43,18
43,90
43,11
43,29
43,35
43,37
43,52
43,12
44,33
44,52
44,37
44,76
45,74
45,66
45,72
46,31
46,36
46,48
46,57
46,32
47,35
47,10
47,75
47,53
48,46
48,57
48,71
48,62
48,68
48,36
49,14
49,87
49,41
49,27
50,71
50,40
50,77
50,67
50,69
50,76
50,33
50,62
51,10
52,13
52,21
52,12
52,43
52,37
52,44
52,33
52,62
53,60
53,78
53,47
53,35
53,69
54,55
54,70
54,42
54,22
55,72
55,86
55,70
55,54
56,64
56,63
56,2
56,74
57,46
57,32
57,40
57,71
57,48
58,64
58,68
58,62
58,13
58,73
60,78
60,53
60,69
60,67
61,23
61,26
61,8
61,34
61,36
62,68
62,48
62,71
62,50
62,33
62,52
62,13
62,58
63,64
63,73
63,16
63,56
64,34
64,36
64,68
64,58
64,73
64,63
66,2
66,90
66,11
66,86
66,72
66,45
66,74
67,60
67,69
67,50
67,40
67,32
68,36
68,48
68,62
68,58
68,64
69,60
69,53
69,35
69,76
69,50
69,67
70,82
70,24
70,42
70,54
70,55
71,40
71,50
71,62
71,48
71,57
72,45
72,66
72,86
72,55
73,64
73,58
73,13
73,21
73,16
73,63
74,56
74,2
74,66
74,45
76,69
76,35
76,37
76,44
76,33
76,50
77,50
78,10
78,47
78,53
78,60
83,29
83,11
83,89
86,11
86,89
86,24
86,70
86,55
86,72
86,66
87,49
87,41
87,14
89,83
89,11
89,86
89,24
